imdb_id,wiki_budget,new_budget,currency_unit,final_budget
tt3950078,US$35 Million,35,1,35000000
tt0099581,US$35 Million,35,1,35000000
tt1440292,US$35 Million,35,1,35000000
tt0456020,US$35 Million,35,1,35000000
tt1286798,US$35 Million,35,1,35000000
tt0093407,US$35 Million,35,1,35000000
tt0050468,"$25,000[1]",25000,1,25000
tt2062996,"$25,000[1]",25000,1,25000
tt4044364,"$25,000[1]",25000,1,25000
tt0772193,"$25,000[1]",25000,1,25000
tt0091557,"$25,000[1]",25000,1,25000
tt0099762,"$25,000[1]",25000,1,25000
tt0018455,"$30,000[1]",30000,1,30000
tt1590125,"$30,000[1]",30000,1,30000
tt0457419,"$30,000[1]",30000,1,30000
tt0088006,"$30,000[1]",30000,1,30000
tt1587707,"$30,000[1]",30000,1,30000
tt1322264,"<U+20B9>70,000–150,000[c] (US$14,600–31,300)[d]",70000,1,70000
tt0100263,"<U+20B9>70,000–150,000[c] (US$14,600–31,300)[d]",70000,1,70000
tt1533013,"<U+20B9>70,000–150,000[c] (US$14,600–31,300)[d]",70000,1,70000
tt0088851,"<U+20B9>70,000–150,000[c] (US$14,600–31,300)[d]",70000,1,70000
tt0089841,"<U+20B9>70,000–150,000[c] (US$14,600–31,300)[d]",70000,1,70000
tt3074732,"<U+20B9>70,000–150,000[c] (US$14,600–31,300)[d]",70000,1,70000
tt0093648,$80 000,80000,1,80000
tt1142800,$80 000,80000,1,80000
tt0105682,$80 000,80000,1,80000
tt0249371,$80 000,80000,1,80000
tt0082350,$80 000,80000,1,80000
tt3702996,"$121,000[2]",121000,1,121000
tt2309021,"$121,000[2]",121000,1,121000
tt2870648,"$121,000[2]",121000,1,121000
tt0085154,"$121,000[2]",121000,1,121000
tt1441912,"$121,000[2]",121000,1,121000
tt1092004,"$200,000[1][2]",200000,1,200000
tt0376144,"$200,000[1]",200000,1,200000
tt1204340,"$200,000[1][2]",200000,1,200000
tt0048021,"$200,000[1]",200000,1,200000
tt0094715,"$200,000[1][2]",200000,1,200000
tt0089652,"$200,000[1]",200000,1,200000
tt0081738,"$200,000[1][2]",200000,1,200000
tt0337879,"$200,000[1]",200000,1,200000
tt0488798,"$200,000[1][2]",200000,1,200000
tt0086973,"$200,000[1]",200000,1,200000
tt1707391,"$200,000[1][2]",200000,1,200000
tt4796122,"$200,000[1]",200000,1,200000
tt0473434,"$250,000[1]",250000,1,250000
tt0108260,"$250,000[1]",250000,1,250000
tt0064573,"$250,000[1]",250000,1,250000
tt0092751,"$250,000[1]",250000,1,250000
